,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,Geraldton,75,AU,1586643530,100,-28.77,114.6,292.15,1.5
1,Ribeira Grande,0,PT,1586643531,71,38.52,-28.7,290.15,3.46
2,Busselton,96,AU,1586643497,69,-33.65,115.33,294.82,3.64
3,Okara,81,PK,1586643533,34,30.81,73.45,298.12,2.04
4,Ushuaia,40,AR,1586643535,80,-54.8,-68.3,278.15,10.3
5,Vaini,40,TO,1586643536,65,-21.2,-175.2,300.15,2.1
6,Kapaa,1,US,1586643537,69,22.08,-159.32,300.15,4.6
7,Zhob,71,PK,1586643538,32,31.34,69.45,292.91,2.15
8,Kavieng,99,PG,1586643539,73,-2.57,150.8,301.79,2.2
9,Butaritari,95,KI,1586643309,76,3.07,172.79,302.03,5.97
10,Punta Arenas,65,CL,1586643497,61,-53.15,-70.92,282.15,6.7
11,Saint-Philippe,33,RE,1586643543,78,-21.36,55.77,296.15,2.6
12,Calvinia,42,ZA,1586643385,54,-31.47,19.78,286.62,2.96
13,Lichinga,85,MZ,1586643545,73,-13.31,35.24,288.31,1.39
14,Hobart,75,AU,1586643260,57,-42.88,147.33,285.37,6.2
15,Kantilo,40,IN,1586643547,88,20.35,85.18,300.15,2.1
16,Shache,100,CN,1586643483,19,38.42,77.24,287.8,1.12
17,Saint Paul Harbor,90,US,1586643550,75,57.79,-152.41,278.15,8.2
18,Tasiilaq,72,GL,1586643435,46,65.61,-37.64,271.15,6.2
19,Mount Gambier,90,AU,1586643552,62,-37.83,140.77,285.15,3.6
20,Hervey Bay,40,AU,1586643553,72,-25.3,152.85,293.15,3.01
21,Deputatsky,79,RU,1586643554,93,69.3,139.9,268.23,7.08
22,San Antonio,90,US,1586643454,74,29.42,-98.49,300.37,3.6
23,Upernavik,100,GL,1586643557,89,72.79,-56.15,266.97,0.44
24,Maceió,5,BR,1586643558,88,-9.67,-35.74,299.15,3.1
25,Dikson,100,RU,1586643432,96,73.51,80.55,263.31,4.52
26,Yellowknife,40,CA,1586643560,57,62.46,-114.35,265.93,7.2
27,Oktyabr'skiy,100,RU,1586643561,81,54.48,53.47,278.05,3.4
28,Srandakan,92,ID,1586643563,78,-7.94,110.25,298.71,1.13
29,Rikitea,78,PF,1586643564,74,-23.12,-134.97,298.17,0.6
30,Tommot,100,RU,1586643565,82,58.96,126.29,273.78,0.42
31,Traverse City,40,US,1586643566,28,44.76,-85.62,286.15,5.1
32,Padang,98,ID,1586643492,76,-0.95,100.35,299.03,2.24
33,Saint George,1,US,1586643496,32,37.1,-113.58,293.71,7.2
34,Severo-Kuril'sk,63,RU,1586643569,93,50.68,156.12,271.61,3.83
35,Moose Factory,75,CA,1586643571,51,51.26,-80.61,275.15,2.1
36,Quatre Cocos,75,MU,1586643572,94,-20.21,57.76,298.71,5.7
37,Bambous Virieux,75,MU,1586643573,94,-20.34,57.76,298.71,5.7
38,Saldanha,98,ZA,1586643574,88,-33.01,17.94,290.15,5.7
39,Dukat,100,RU,1586643575,87,62.55,155.55,260.96,0.37
40,Aksarka,0,RU,1586643576,91,66.56,67.8,261.33,1.99
41,Riviere-au-Renard,40,CA,1586643577,44,49.0,-64.4,278.15,6.2
42,Bandarbeyla,16,SO,1586643579,73,9.49,50.81,300.77,4.57
43,Azuaga,66,ES,1586643580,81,38.27,-5.68,286.48,2.24
44,Mataura,100,NZ,1586643581,65,-46.19,168.86,287.59,1.79
45,Pacific Grove,90,US,1586643582,71,36.62,-121.92,293.71,4.6
46,Sola,75,VU,1586643303,74,-13.88,167.55,302.15,5.55
47,Bonfim,92,BR,1586643584,39,3.08,-59.95,306.99,3.38
48,Sohbatpur,89,PK,1586643586,28,28.52,68.54,302.5,0.09
49,Adrar,0,MR,1586643587,12,20.5,-10.07,302.92,4.72
50,Bassar,97,TG,1586643583,83,9.25,0.78,302.15,1.0
51,Waingapu,53,ID,1586643558,77,-9.66,120.26,298.67,2.55
52,Bredasdorp,100,ZA,1586643590,49,-34.53,20.04,295.15,8.2
53,Amqui,40,CA,1586643591,41,48.46,-67.43,278.15,6.7
54,Port Elizabeth,89,ZA,1586643304,59,-33.92,25.57,291.15,2.6
55,Leningradskiy,94,RU,1586643506,87,69.38,178.42,262.49,1.78
56,Epe,13,NG,1586643595,77,6.58,3.98,301.36,2.7
57,Poum,50,NC,1586643596,71,-20.23,164.02,299.31,5.21
58,Atuona,64,PF,1586643506,68,-9.8,-139.03,301.37,3.34
59,Jamestown,1,US,1586643598,48,42.1,-79.24,282.04,6.7
60,Santa Cruz de la Sierra,0,BO,1586643371,30,-17.8,-63.17,303.15,3.1
61,Tuktoyaktuk,20,CA,1586643516,84,69.45,-133.04,257.15,3.1
62,Bluff,100,NZ,1586643516,65,-46.6,168.33,287.59,1.79
63,Port Alfred,77,ZA,1586643603,90,-33.59,26.89,292.59,2.34
64,Vila Velha,90,BR,1586643604,83,-20.33,-40.29,298.15,4.1
65,Manggar,100,ID,1586643473,82,-2.88,108.27,300.03,2.65
66,Albany,40,US,1586643606,31,42.6,-73.97,282.59,7.7
67,Hong Kong,20,HK,1586643592,68,22.29,114.16,292.15,8.7
68,Talnakh,75,RU,1586643581,80,69.49,88.4,275.15,14.0
69,Pangoa,32,PE,1586643609,44,-12.12,-73.0,301.55,1.36
70,Newberry,1,US,1586643611,30,34.27,-81.62,296.15,2.1
71,Yumen,100,CN,1586643612,23,40.28,97.2,280.61,2.24
72,Moranbah,22,AU,1586643613,43,-22.0,148.05,293.87,2.99
73,Arraial do Cabo,75,BR,1586643614,83,-22.97,-42.03,295.15,2.6
74,Lorengau,58,PG,1586643615,75,-2.02,147.27,301.08,0.56
75,Hilo,1,US,1586643428,62,19.73,-155.09,302.15,3.6
76,Ponta do Sol,75,PT,1586643618,72,32.67,-17.1,290.15,6.2
77,Rio Grande,0,BR,1586643498,81,-32.03,-52.1,290.93,4.6
78,Sibolga,94,ID,1586643490,76,1.74,98.78,298.92,1.06
79,Arrecife,20,ES,1586643621,68,28.96,-13.55,292.15,5.1
80,Tocopilla,18,CL,1586643622,33,-22.09,-70.2,300.02,2.35
81,Mossamedes,0,AO,1586643420,61,-15.2,12.15,298.48,1.62
82,Nānākuli,20,US,1586643625,69,21.39,-158.15,301.15,3.6
83,Chui,33,UY,1586643389,66,-33.7,-53.46,292.01,3.13
84,Chihuahua,20,MX,1586643565,5,28.5,-106.0,300.93,4.6
85,Khovd,100,MN,1586643628,39,48.01,91.64,276.68,0.78
86,Chernyshevskiy,98,RU,1586643630,95,63.01,112.47,268.9,3.58
87,Qingdao,0,CN,1586643631,93,36.1,120.37,281.48,1.0
88,Oddur,21,SO,1586643632,66,4.12,43.89,298.65,6.87
89,Inuvik,5,CA,1586643421,48,68.35,-133.72,266.15,3.6
90,Haverfordwest,0,GB,1586643634,87,51.8,-4.97,287.59,2.6
91,Izhma,75,RU,1586643635,96,65.01,53.91,265.11,1.04
92,Cape Town,75,ZA,1586643637,88,-33.93,18.42,291.48,9.8
93,Vostok,69,RU,1586643638,89,46.49,135.88,268.89,1.33
94,Nikolskoye,5,RU,1586643519,92,59.7,30.79,271.15,1.0
95,Torbay,75,CA,1586643640,59,47.67,-52.73,276.15,13.4
96,Derzhavīnsk,98,KZ,1586643642,59,51.1,66.32,279.21,5.25
97,Barrow,90,US,1586643555,78,71.29,-156.79,264.15,5.7
98,Okitipupa,98,NG,1586643644,79,6.5,4.78,299.86,1.77
99,Laas,5,IT,1586643646,70,46.62,10.7,289.15,2.1
100,San Patricio,40,MX,1586643517,74,19.22,-104.7,303.15,10.3
101,Saskylakh,19,RU,1586643518,90,71.92,114.08,255.83,6.68
102,Sungai Penuh,99,ID,1586643439,73,-2.08,101.38,292.56,0.3
103,Angoche,36,MZ,1586643650,80,-16.23,39.91,296.82,2.95
104,Manzanillo,3,CU,1586643651,42,20.34,-77.12,306.27,3.46
105,Nanortalik,100,GL,1586643601,72,60.14,-45.24,276.25,12.63
106,College,75,US,1586643654,35,64.86,-147.8,279.15,2.6
107,Hermanus,100,ZA,1586643655,67,-34.42,19.23,294.26,8.05
108,George Town,20,MY,1586643442,88,5.41,100.34,301.15,1.0
109,Cidreira,4,BR,1586643497,67,-30.18,-50.21,292.89,3.19
